time,level,latitude,longitude,input,output
272.7680555555553,0,37.33427047729492,-113.46333312988281,0.0,4.8476505e-12
272.7680555555553,0,37.579383850097656,-105.49404907226562,3.688305e-11,6.245243e-10
272.7680555555553,0,37.57877731323242,-105.44842529296875,3.172008e-10,4.0319685e-09
272.7680555555553,0,37.614933013916016,-105.4476318359375,2.8950599e-11,1.6313995e-10
272.7680555555553,0,37.860958099365234,-104.98410034179688,0.0,1.009175e-12
272.7680555555553,0,37.89868927001953,-105.07473754882812,2.1308012e-12,1.2673238e-12
272.7680555555553,0,37.897911071777344,-105.02891540527344,1.6906327e-11,6.357072e-10
272.7680555555553,0,37.93406677246094,-105.02792358398438,1.4428578e-12,1.0456518e-12
272.7680555555553,1,37.33427047729492,-113.46333312988281,0.0,1.02313566e-11
272.7680555555553,1,37.579383850097656,-105.49404907226562,5.573723e-11,7.5892215e-10
272.7680555555553,1,37.57877731323242,-105.44842529296875,4.7510434e-10,4.968152e-09
272.7680555555553,1,37.614933013916016,-105.4476318359375,4.4451273e-11,1.796414e-10
272.7680555555553,1,37.860958099365234,-104.98410034179688,0.0,2.0918313e-12
272.7680555555553,1,37.89868927001953,-105.07473754882812,3.2402997e-12,1.9687932e-12
272.7680555555553,1,37.897911071777344,-105.02891540527344,2.5618608e-11,8.40278e-10
272.7680555555553,1,37.93406677246094,-105.02792358398438,2.2188926e-12,1.6366318e-12
272.7680555555553,2,37.33427047729492,-113.46333312988281,0.0,3.684803e-11
272.7680555555553,2,37.33682632446289,-113.41796875,0.0,1.3383114e-12
272.7680555555553,2,37.579383850097656,-105.49404907226562,1.2092075e-10,1.3104972e-09
272.7680555555553,2,37.57877731323242,-105.44842529296875,1.0019316e-09,7.865189e-09
272.7680555555553,2,37.614933013916016,-105.4476318359375,1.0103806e-10,2.2455124e-10
272.7680555555553,2,37.860958099365234,-104.98410034179688,0.0,6.959072e-12
272.7680555555553,2,37.89868927001953,-105.07473754882812,7.061724e-12,4.392171e-12
272.7680555555553,2,37.897911071777344,-105.02891540527344,5.5075736e-11,1.4980689e-09
272.7680555555553,2,37.93406677246094,-105.02792358398438,4.9895006e-12,3.689333e-12
272.7680555555553,3,37.33427047729492,-113.46333312988281,0.0,1.7345221e-10
272.7680555555553,3,37.33682632446289,-113.41796875,0.0,8.5063675e-12
272.7680555555553,3,37.37289810180664,-113.42117309570312,0.0,1.7384898e-12
272.7680555555553,3,37.579383850097656,-105.49404907226562,2.786541e-10,2.542655e-09
272.7680555555553,3,37.57877731323242,-105.44842529296875,2.2723072e-09,1.4853123e-08
272.7680555555553,3,37.614933013916016,-105.4476318359375,2.5453462e-10,3.1267222e-10
272.7680555555553,3,37.860958099365234,-104.98410034179688,0.0,2.7528351e-11
272.7680555555553,3,37.89868927001953,-105.07473754882812,1.6797251e-11,1.0556471e-11
272.7680555555553,3,37.897911071777344,-105.02891540527344,1.2655132e-10,3.2856842e-09
272.7680555555553,3,37.93406677246094,-105.02792358398438,1.288056e-11,8.9621565e-12
272.7680555555553,4,37.33169174194336,-113.50869750976562,1.4039482e-13,0.0
272.7680555555553,4,37.33427047729492,-113.46333312988281,1.4160798e-12,1.0288067e-09
272.7680555555553,4,37.33682632446289,-113.41796875,0.0,6.420198e-11
272.7680555555553,4,37.37033462524414,-113.466552734375,1.393787e-13,0.0
272.7680555555553,4,37.37289810180664,-113.42117309570312,0.0,1.2879619e-11
272.7680555555553,4,37.579383850097656,-105.49404907226562,4.676781e-10,4.635929e-09
272.7680555555553,4,37.57877731323242,-105.44842529296875,4.281685e-09,2.6207255e-08
272.7680555555553,4,37.614933013916016,-105.4476318359375,4.714069e-10,3.464216e-10
272.7680555555553,4,37.860958099365234,-104.98410034179688,0.0,1.1752704e-10
272.7680555555553,4,37.89868927001953,-105.07473754882812,3.0684427e-11,2.1802275e-11
272.7680555555553,4,37.897911071777344,-105.02891540527344,2.3924604e-10,6.494313e-09
272.7680555555553,4,37.93406677246094,-105.02792358398438,2.687137e-11,1.88687e-11
272.7680555555553,5,37.33169174194336,-113.50869750976562,8.7853054e-13,0.0
272.7680555555553,5,37.33427047729492,-113.46333312988281,8.512274e-12,5.7728458e-09
272.7680555555553,5,37.33682632446289,-113.41796875,0.0,3.9996542e-10
272.7680555555553,5,37.37033462524414,-113.466552734375,9.441698e-13,0.0
272.7680555555553,5,37.37289810180664,-113.42117309570312,0.0,7.8455714e-11
272.7680555555553,5,37.57877731323242,-105.44842529296875,2.0358838e-11,1.628374e-11
272.7680555555553,5,37.860958099365234,-104.98410034179688,0.0,3.1532715e-10
272.7680555555553,5,37.897911071777344,-105.02891540527344,1.1777739e-12,8.9197555e-10
272.7680555555553,6,37.33169174194336,-113.50869750976562,2.7108253e-12,2.0246567e-12
272.7680555555553,6,37.33427047729492,-113.46333312988281,2.495313e-11,1.9730486e-08
272.7680555555553,6,37.33682632446289,-113.41796875,0.0,1.1945703e-09
272.7680555555553,6,37.37033462524414,-113.466552734375,3.1393575e-12,0.0
272.7680555555553,6,37.37289810180664,-113.42117309570312,0.0,2.2611382e-10
272.7680555555553,7,37.33427047729492,-113.46333312988281,5.5343886e-14,1.3426992e-08
272.7680555555553,7,37.33682632446289,-113.41796875,0.0,1.4715003e-10
272.7680555555553,8,37.33427047729492,-113.46333312988281,0.0,5.3016974e-10
272.76944444444416,0,37.33169174194336,-113.50869750976562,3.79037e-13,2.4427e-12
272.76944444444416,0,37.33427047729492,-113.46333312988281,4.147414e-12,1.8188853e-10
272.76944444444416,0,37.33682632446289,-113.41796875,0.0,3.903744e-12
272.76944444444416,0,37.37033462524414,-113.466552734375,3.1862889e-13,0.0
272.76944444444416,0,37.37289810180664,-113.42117309570312,0.0,1.8687957e-11
272.76944444444416,0,37.57997512817383,-105.5396728515625,5.924184e-11,0.0
272.76944444444416,0,37.579383850097656,-105.49404907226562,9.037067e-10,5.1387166e-09
272.76944444444416,0,37.57877731323242,-105.44842529296875,3.3337992e-09,1.5401515e-08
272.76944444444416,0,37.615543365478516,-105.4932861328125,6.3201784e-11,1.042027e-10
272.76944444444416,0,37.614933013916016,-105.4476318359375,4.4057322e-10,1.1161565e-09
272.76944444444416,0,37.65109634399414,-105.44686889648438,1.2306546e-11,0.0
272.76944444444416,0,37.861751556396484,-105.0299072265625,1.06087265e-13,4.0280383e-11
272.76944444444416,0,37.860958099365234,-104.98410034179688,8.305245e-13,3.065559e-11
272.76944444444416,0,37.89944076538086,-105.12057495117188,1.2986887e-13,0.0
272.76944444444416,0,37.89868927001953,-105.07473754882812,6.6957155e-11,3.20901e-11
272.76944444444416,0,37.897911071777344,-105.02891540527344,5.2401017e-10,3.792847e-09
272.76944444444416,0,37.89711380004883,-104.98309326171875,7.1182386e-14,0.0
272.76944444444416,0,37.93484878540039,-105.07376098632812,1.9802741e-13,0.0
272.76944444444416,0,37.93406677246094,-105.02792358398438,4.5783852e-11,2.6204143e-11
272.76944444444416,0,37.97023391723633,-105.02691650390625,7.373642e-14,0.0
272.76944444444416,1,37.33169174194336,-113.50869750976562,8.0208843e-13,4.5557533e-12
272.76944444444416,1,37.33427047729492,-113.46333312988281,8.740148e-12,2.852833e-10
272.76944444444416,1,37.33682632446289,-113.41796875,0.0,8.386543e-12
272.76944444444416,1,37.37033462524414,-113.466552734375,6.8227325e-13,0.0
272.76944444444416,1,37.37289810180664,-113.42117309570312,0.0,3.2322933e-11
272.76944444444416,1,37.57997512817383,-105.5396728515625,7.240403e-11,0.0
272.76944444444416,1,37.579383850097656,-105.49404907226562,1.1056498e-09,6.058546e-09
272.76944444444416,1,37.57877731323242,-105.44842529296875,4.095812e-09,1.8207801e-08
272.76944444444416,1,37.615543365478516,-105.4932861328125,7.6410454e-11,1.244215e-10
272.76944444444416,1,37.614933013916016,-105.4476318359375,5.3309807e-10,1.2173758e-09
272.76944444444416,1,37.65109634399414,-105.44686889648438,1.3839019e-11,0.0
272.76944444444416,1,37.861751556396484,-105.0299072265625,2.2034338e-13,6.560823e-11
272.76944444444416,1,37.860958099365234,-104.98410034179688,1.7183054e-12,5.359807e-11
272.76944444444416,1,37.89944076538086,-105.12057495117188,2.0211751e-13,0.0
272.76944444444416,1,37.89868927001953,-105.07473754882812,8.8902774e-11,4.9490537e-11
272.76944444444416,1,37.897911071777344,-105.02891540527344,6.915321e-10,4.717084e-09
272.76944444444416,1,37.89711380004883,-104.98309326171875,1.4952448e-13,0.0
272.76944444444416,1,37.93484878540039,-105.07376098632812,3.1102405e-13,0.0
272.76944444444416,1,37.93406677246094,-105.02792358398438,6.1508555e-11,4.082964e-11
272.76944444444416,1,37.97023391723633,-105.02691650390625,1.1692084e-13,0.0
272.76944444444416,2,37.33169174194336,-113.50869750976562,2.9118177e-12,1.3782027e-11
272.76944444444416,2,37.33427047729492,-113.46333312988281,3.1471378e-11,7.0023626e-10
272.76944444444416,2,37.33682632446289,-113.41796875,1.1394388e-12,3.0716193e-11
272.76944444444416,2,37.37033462524414,-113.466552734375,2.5404936e-12,1.4942481e-12
272.76944444444416,2,37.37289810180664,-113.42117309570312,9.1307306e-14,9.058558e-11
272.76944444444416,2,37.57997512817383,-105.5396728515625,1.2736658e-10,0.0
272.76944444444416,2,37.579383850097656,-105.49404907226562,1.8449849e-09,9.5964605e-09
272.76944444444416,2,37.57877731323242,-105.44842529296875,6.4257493e-09,2.6701567e-08
272.76944444444416,2,37.615543365478516,-105.4932861328125,1.3115456e-10,1.7952867e-10
272.76944444444416,2,37.614933013916016,-105.4476318359375,8.3464585e-10,1.4812813e-09
272.76944444444416,2,37.65109634399414,-105.44686889648438,1.8487736e-11,0.0
272.76944444444416,2,37.861751556396484,-105.0299072265625,7.3981863e-13,1.6513267e-10
272.76944444444416,2,37.860958099365234,-104.98410034179688,5.6855137e-12,1.4778499e-10
272.76944444444416,2,37.89944076538086,-105.12057495117188,4.549086e-13,0.0
272.76944444444416,2,37.89868927001953,-105.07473754882812,1.6051294e-10,1.0944862e-10
272.76944444444416,2,37.897911071777344,-105.02891540527344,1.2265774e-09,7.646571e-09
272.76944444444416,2,37.89711380004883,-104.98309326171875,5.181298e-13,2.0243455e-12
272.76944444444416,2,37.93484878540039,-105.07376098632812,7.1389243e-13,0.0
